supplier_id,supplier_name,contact_name,contact_email,phone,country,is_active,created_at,region
1,"Rodriguez, Figueroa and Sanchez",Pamela Key,afigueroa@roberts-shaffer.biz,310.221.3125x12931,United Kingdom,True,2021-10-21 09:31:03,Europe
2,Doyle Ltd,Ariel Sandoval,ltaylor@miller.net,001-405-591-2975x1910,Singapore,True,2021-11-04 20:02:30,Asia Pacific
3,"Mcclain, Miller and Henderson",Robert Stark,carl96@smith.com,001-512-911-0633x0165,Japan,True,2023-04-01 04:51:17,Asia Pacific
4,Davis and Sons,Zachary Robinson,dthompson@bradley.biz,479.227.4907,Australia,True,2021-09-24 22:46:15,Asia Pacific
5,"Guzman, Hoffman and Baldwin",Rebecca Kelly,angela04@torres.com,323-542-8931,United States,True,2021-09-09 19:34:39,North America
6,"Gardner, Robinson and Lawrence",Sarah Thompson,moorekevin@flowers.com,(653)526-9496,United States,True,2023-11-08 19:51:35,North America
7,Blake and Sons,Renee Wolfe,swhite@sanchez.com,(245)838-0442x10175,United States,True,2022-12-08 05:13:24,North America
8,"Henderson, Ramirez and Lewis",Alyssa Haynes,bianca96@burton-alvarez.com,670-715-9591,Mexico,True,2023-01-05 03:47:22,North America
9,Garcia-James,Kristy Hart,william90@martin-brown.com,457.257.4758x339,Germany,True,2019-10-24 01:30:11,Europe
10,Abbott-Munoz,William Keith,ijohns@martin-nelson.biz,001-856-877-5677x722,France,True,2022-01-04 21:30:33,Europe
11,Blair PLC,Eric Henry Jr.,brandon48@mayer.com,4254626506,United States,True,2019-08-22 15:16:35,North America
12,Dudley Group,Daniel Fox,georgegary@brennan-serrano.com,001-723-510-6724,Singapore,False,2019-05-24 17:59:36,Asia Pacific
13,Arnold Ltd,Thomas Harris,gina51@carpenter.net,9769248433,India,False,2023-05-29 04:23:02,South Asia
14,"Mcclure, Ward and Lee",Mitchell Sellers,nathan76@mccall-martin.com,(962)570-5115x79423,United States,True,2020-06-18 21:51:08,North America
15,Williams and Sons,Erica Johnson,wesleydecker@austin.net,(670)742-5496x91928,United States,True,2022-09-03 03:22:52,North America
16,Galloway-Wyatt,Sylvia Schroeder,butlersabrina@fuentes.info,001-752-559-7107x5633,United States,False,2021-06-19 12:17:17,North America
17,James Group,Shannon Yu,larry52@preston-harper.com,574-585-9532x59399,United States,True,2021-10-14 18:49:42,North America
18,"Flowers, Martin and Kelly",Tom Foster,jenniferjohnson@walker.com,997.905.8162x9518,Canada,True,2023-06-02 22:53:34,North America
19,"Adams, Zuniga and Wong",Eric Taylor,kyleclark@coleman.com,+1-541-276-3425x073,United Kingdom,True,2019-02-01 01:13:56,Europe
20,"Reid, Ferguson and Sanchez",Travis Conner,hamptonkatherine@gonzalez.net,359-678-2457x59833,United States,True,2022-11-03 12:49:54,North America
21,Gray-Mayo,Marie Thompson,harrisonrebekah@jones.com,001-403-688-4366x0443,Germany,True,2023-05-07 10:14:33,Europe
22,"Watts, Robinson and Nguyen",Melissa Mcfarland,pattonsamantha@matthews.com,4069157276,United States,True,2022-07-08 21:14:40,North America
23,Perez Inc,Courtney Chapman,anthony24@bailey.org,001-251-347-4397x42925,United States,False,2023-10-17 03:05:13,North America
24,Morales-Jones,Eric Barker,williamjones@hines.com,2588752568,United Kingdom,False,2019-06-20 21:26:03,Europe
25,"Walter, Edwards and Rios",Nicholas Rush,rachelmedina@garcia.info,+1-256-425-9045x9908,Canada,False,2021-01-01 19:14:28,North America
26,Wilkerson-Day,Jenna Gamble,helen27@rosario.biz,311.822.1823x1555,Brazil,True,2021-06-18 19:49:40,Latin America
